"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 長照支付審查－分案審核明細邏輯模型對應"
"LTCFeeAuditDetailModel.auditResult.caseSvcListExcelUrl","LTCFeeAuditDetailModel.auditResult.caseSvcListExcelUrl","","","",0,1,"","","","url {[]} {[]}
","清冊 EXCEL 下載路徑","服務記錄清冊 EXCEL 檔之下載路徑，長度 200（case_svc_list_excel_url）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.caseSvcListExcelUrl",0,1,"","","ClaimResponse.extension('http://ltc-ig.fhir.tw/StructureDefinition/Ext-TW-LTC-FeeAudit-DocUrl').where(extension('docType').valueCodeableConcept.coding.code='caseSvcListExcel').extension('url').valueUrl"
"LTCFeeAuditDetailModel.auditResult.caseASvcListUrl","LTCFeeAuditDetailModel.auditResult.caseASvcListUrl","","","",0,1,"","","","url {[]} {[]}
","A 碼清冊路徑","A 碼加成清冊之下載路徑，長度 200（case_a_svc_list_url）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.caseASvcListUrl",0,1,"","","ClaimResponse.extension('http://ltc-ig.fhir.tw/StructureDefinition/Ext-TW-LTC-FeeAudit-DocUrl').where(extension('docType').valueCodeableConcept.coding.code='caseASvcList').extension('url').valueUrl"
"LTCFeeAuditDetailModel.auditResult.caseASvcListExcelUrl","LTCFeeAuditDetailModel.auditResult.caseASvcListExcelUrl","","","",0,1,"","","","url {[]} {[]}
","A 碼清冊 EXCEL 下載路徑","A 碼加成清冊 EXCEL 檔之下載路徑，長度 200（case_a_svc_list_excel_url）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.caseASvcListExcelUrl",0,1,"","","ClaimResponse.extension('http://ltc-ig.fhir.tw/StructureDefinition/Ext-TW-LTC-FeeAudit-DocUrl').where(extension('docType').valueCodeableConcept.coding.code='caseASvcListExcel').extension('url').valueUrl"
"LTCFeeAuditDetailModel.auditResult.caseErrListUrl","LTCFeeAuditDetailModel.auditResult.caseErrListUrl","","","",0,1,"","","","url {[]} {[]}
","申請記錄不通過清冊路徑","申請記錄審核不通過清冊之下載路徑，長度 200（case_err_list_url）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.caseErrListUrl",0,1,"","","ClaimResponse.extension('http://ltc-ig.fhir.tw/StructureDefinition/Ext-TW-LTC-FeeAudit-DocUrl').where(extension('docType').valueCodeableConcept.coding.code='caseErrList').extension('url').valueUrl"
"LTCFeeAuditDetailModel.auditResult.caseErrListExcelUrl","LTCFeeAuditDetailModel.auditResult.caseErrListExcelUrl","","","",0,1,"","","","url {[]} {[]}
","申請記錄不通過 EXCEL 清冊路徑","申請記錄審核不通過清冊 EXCEL 檔之下載路徑，長度 200（case_err_list_excel_url）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.caseErrListExcelUrl",0,1,"","","ClaimResponse.extension('http://ltc-ig.fhir.tw/StructureDefinition/Ext-TW-LTC-FeeAudit-DocUrl').where(extension('docType').valueCodeableConcept.coding.code='caseErrListExcel').extension('url').valueUrl"
"LTCFeeAuditDetailModel.auditResult.transNos","LTCFeeAuditDetailModel.auditResult.transNos","","","",0,*,"","","","string {[]} {[]}
","分案已處理之單號","本分案已處理之申請單單號陣列（trans_nos）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.transNos",0,*,"","","ClaimResponse.extension('http://ltc-ig.fhir.tw/StructureDefinition/Ext-TW-LTC-FeeAudit-AuditSummary').extension('transNo').valueString"
"LTCFeeAuditDetailModel.auditResult.incInAcc","LTCFeeAuditDetailModel.auditResult.incInAcc","","","",0,1,"","","","decimal {[]} {[]}
","核增金額","審核後核增之金額（inc_in_acc）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.incInAcc",0,1,"","","ClaimResponse.total.where(category.coding.code='incInAcc').amount"
"LTCFeeAuditDetailModel.auditResult.incInReason","LTCFeeAuditDetailModel.auditResult.incInReason","","","",0,1,"","","","string {[]} {[]}
","核增原因","核增金額之原因說明，長度 4000（inc_in_reason）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.incInReason",0,1,"","","ClaimResponse.processNote.text"
"LTCFeeAuditDetailModel.auditResult.decInAcc","LTCFeeAuditDetailModel.auditResult.decInAcc","","","",0,1,"","","","decimal {[]} {[]}
","核減金額","審核後核減之金額（dec_in_acc）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.decInAcc",0,1,"","","ClaimResponse.total.where(category.coding.code='decInAcc').amount"
"LTCFeeAuditDetailModel.auditResult.decInReason","LTCFeeAuditDetailModel.auditResult.decInReason","","","",0,1,"","","","string {[]} {[]}
","核減原因","核減金額之原因說明，長度 4000（dec_in_reason）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.decInReason",0,1,"","","ClaimResponse.processNote.text"
"LTCFeeAuditDetailModel.auditResult.approveRecords","LTCFeeAuditDetailModel.auditResult.approveRecords","","","",0,*,"","","","BackboneElement {[]} {[]}
","審核通過服務記錄","審核通過之服務記錄明細，多筆（approve_records）","","","","","","","","","",,,,,"",,,,"LTCFeeAuditDetailModel.auditResult.approveRecords",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","ClaimResponse.item"
"LTCFeeAuditDetailModel.auditResult.approveRecords.id","LTCFeeAuditDetailModel.auditResult.approveRecords.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
