"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－個案基本資料欄位對應"
"HNBaseDataModel.medicals.jobTitle.value","HNBaseDataModel.medicals.jobTitle.value","","","",1,1,"","","","Coding {[]} {[]}
","選項","選項","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-94d2d2fdf018","",,,,"HNBaseDataModel.medicals.jobTitle.value",1,1,"","","QuestionnaireResponse.item.where(linkId='Medicals').item.where(linkId='Medicals.JobTitle').item.where(linkId='Medicals.JobTitle.Value')"
"HNBaseDataModel.medicals.jobTitle.other","HNBaseDataModel.medicals.jobTitle.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明。選擇其他時應填寫說明。","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.medicals.jobTitle.other",0,1,"","","QuestionnaireResponse.item.where(linkId='Medicals').item.where(linkId='Medicals.JobTitle').item.where(linkId='Medicals.JobTitle.Other')"
"HNBaseDataModel.medicals.tel","HNBaseDataModel.medicals.tel","","","",1,1,"","","","string {[]} {[]}
","電話","電話","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.medicals.tel",1,1,"","","QuestionnaireResponse.item.where(linkId='Medicals').item.where(linkId='Medicals.Tel')"
"HNBaseDataModel.medicals.careRemark","HNBaseDataModel.medicals.careRemark","","","",0,1,"","","","string {[]} {[]}
","照護備註","照護備註","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.medicals.careRemark",0,1,"","","QuestionnaireResponse.item.where(linkId='Medicals').item.where(linkId='Medicals.CareRemark')"
"HNBaseDataModel.relatives","HNBaseDataModel.relatives","","","",0,*,"","","","BackboneElement {[]} {[]}
","共照親友","共照親友","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Relatives')"
"HNBaseDataModel.relatives.id","HNBaseDataModel.relatives.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.relatives.extension","HNBaseDataModel.relatives.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.relatives.modifierExtension","HNBaseDataModel.relatives.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.relatives.name","HNBaseDataModel.relatives.name","","","",1,1,"","","","string {[]} {[]}
","成員姓名","成員姓名","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.name",1,1,"","","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.Name')"
"HNBaseDataModel.relatives.relationship","HNBaseDataModel.relatives.relationship","","","",1,1,"","","","BackboneElement {[]} {[]}
","關係","關係","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.relationship",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.Relationship')"
"HNBaseDataModel.relatives.relationship.id","HNBaseDataModel.relatives.relationship.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.relatives.relationship.extension","HNBaseDataModel.relatives.relationship.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.relatives.relationship.modifierExtension","HNBaseDataModel.relatives.relationship.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.relatives.relationship.value","HNBaseDataModel.relatives.relationship.value","","","",1,1,"","","","Coding {[]} {[]}
","選項","選項","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-9570830f5a60","",,,,"HNBaseDataModel.relatives.relationship.value",1,1,"","","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.Relationship').item.where(linkId='Relatives.Relationship.Value')"
"HNBaseDataModel.relatives.relationship.other","HNBaseDataModel.relatives.relationship.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明。選擇其他時應填寫說明。","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.relationship.other",0,1,"","","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.Relationship').item.where(linkId='Relatives.Relationship.Other')"
"HNBaseDataModel.relatives.careTime","HNBaseDataModel.relatives.careTime","","","",1,1,"","","","BackboneElement {[]} {[]}
","主要照顧時間","主要照顧時間","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.careTime",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.CareTime')"
"HNBaseDataModel.relatives.careTime.id","HNBaseDataModel.relatives.careTime.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.relatives.careTime.extension","HNBaseDataModel.relatives.careTime.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.relatives.careTime.modifierExtension","HNBaseDataModel.relatives.careTime.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.relatives.careTime.value","HNBaseDataModel.relatives.careTime.value","","","",1,1,"","","","Coding {[]} {[]}
","選項","選項","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-a946985c2125","",,,,"HNBaseDataModel.relatives.careTime.value",1,1,"","","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.CareTime').item.where(linkId='Relatives.CareTime.Value')"
"HNBaseDataModel.relatives.careTime.other","HNBaseDataModel.relatives.careTime.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明。選擇其他時應填寫說明。","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.careTime.other",0,1,"","","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.CareTime').item.where(linkId='Relatives.CareTime.Other')"
"HNBaseDataModel.relatives.tel1","HNBaseDataModel.relatives.tel1","","","",1,1,"","","","BackboneElement {[]} {[]}
","電話1","電話1","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.tel1",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.Tel1')"
"HNBaseDataModel.relatives.tel1.id","HNBaseDataModel.relatives.tel1.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.relatives.tel1.extension","HNBaseDataModel.relatives.tel1.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.relatives.tel1.modifierExtension","HNBaseDataModel.relatives.tel1.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.relatives.tel1.value","HNBaseDataModel.relatives.tel1.value","","","",1,1,"","","","string {[]} {[]}
","電話號碼","電話號碼","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.tel1.value",1,1,"","","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.Tel1').item.where(linkId='Relatives.Tel1.Value')"
"HNBaseDataModel.relatives.tel1.remark","HNBaseDataModel.relatives.tel1.remark","","","",0,1,"","","","string {[]} {[]}
","聯絡時間與說明","聯絡時間與說明","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.tel1.remark",0,1,"","","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.Tel1').item.where(linkId='Relatives.Tel1.Remark')"
"HNBaseDataModel.relatives.tel2","HNBaseDataModel.relatives.tel2","","","",0,1,"","","","BackboneElement {[]} {[]}
","電話2","電話2","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.tel2",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.Tel2')"
"HNBaseDataModel.relatives.tel2.id","HNBaseDataModel.relatives.tel2.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.relatives.tel2.extension","HNBaseDataModel.relatives.tel2.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.relatives.tel2.modifierExtension","HNBaseDataModel.relatives.tel2.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.relatives.tel2.value","HNBaseDataModel.relatives.tel2.value","","","",1,1,"","","","string {[]} {[]}
","電話號碼","電話號碼","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.tel2.value",1,1,"","","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.Tel2').item.where(linkId='Relatives.Tel2.Value')"
"HNBaseDataModel.relatives.tel2.remark","HNBaseDataModel.relatives.tel2.remark","","","",0,1,"","","","string {[]} {[]}
","聯絡時間與說明","聯絡時間與說明","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.tel2.remark",0,1,"","","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.Tel2').item.where(linkId='Relatives.Tel2.Remark')"
"HNBaseDataModel.relatives.tel3","HNBaseDataModel.relatives.tel3","","","",0,1,"","","","BackboneElement {[]} {[]}
","電話3","電話3","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.tel3",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.Tel3')"
"HNBaseDataModel.relatives.tel3.id","HNBaseDataModel.relatives.tel3.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.relatives.tel3.extension","HNBaseDataModel.relatives.tel3.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.relatives.tel3.modifierExtension","HNBaseDataModel.relatives.tel3.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.relatives.tel3.value","HNBaseDataModel.relatives.tel3.value","","","",1,1,"","","","string {[]} {[]}
","電話號碼","電話號碼","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.tel3.value",1,1,"","","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.Tel3').item.where(linkId='Relatives.Tel3.Value')"
"HNBaseDataModel.relatives.tel3.remark","HNBaseDataModel.relatives.tel3.remark","","","",0,1,"","","","string {[]} {[]}
","聯絡時間與說明","聯絡時間與說明","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.tel3.remark",0,1,"","","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.Tel3').item.where(linkId='Relatives.Tel3.Remark')"
"HNBaseDataModel.relatives.careRemark","HNBaseDataModel.relatives.careRemark","","","",0,1,"","","","string {[]} {[]}
","照護備註","照護備註","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.relatives.careRemark",0,1,"","","QuestionnaireResponse.item.where(linkId='Relatives').item.where(linkId='Relatives.CareRemark')"
